Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
360;Standard;0;Kartesisch;-0.500;-0.750;0.000;
361;Standard;0;Kartesisch;-0.500;-0.500;0.000;
362;Standard;0;Kartesisch;-0.500;-0.250;0.000;
363;Standard;0;Kartesisch;-0.500;0.000;0.000;
364;Standard;0;Kartesisch;-0.500;0.250;0.000;
365;Standard;0;Kartesisch;-0.500;0.500;0.000;
366;Standard;0;Kartesisch;-0.500;0.750;0.000;
367;Standard;0;Kartesisch;-0.500;1.000;0.000;
368;Standard;0;Kartesisch;-0.500;1.250;0.000;
369;Standard;0;Kartesisch;-0.500;1.500;0.000;
370;Standard;0;Kartesisch;-0.500;1.750;0.000;
371;Standard;0;Kartesisch;-0.500;2.000;0.000;
372;Standard;0;Kartesisch;-0.500;2.250;0.000;
373;Standard;0;Kartesisch;-0.500;2.500;0.000;
374;Standard;0;Kartesisch;-0.500;2.750;0.000;
375;Standard;0;Kartesisch;-0.500;3.000;0.000;
376;Standard;0;Kartesisch;-0.500;3.250;0.000;
377;Standard;0;Kartesisch;-0.500;3.500;0.000;
378;Standard;0;Kartesisch;-0.250;-3.500;0.000;
379;Standard;0;Kartesisch;-0.250;-3.250;0.000;
380;Standard;0;Kartesisch;-0.250;-3.000;0.000;
381;Standard;0;Kartesisch;-0.250;-2.750;0.000;
382;Standard;0;Kartesisch;-0.250;-2.500;0.000;
383;Standard;0;Kartesisch;-0.250;-2.250;0.000;
384;Standard;0;Kartesisch;-0.250;-2.000;0.000;
385;Standard;0;Kartesisch;-0.250;-1.750;0.000;
386;Standard;0;Kartesisch;-0.250;-1.500;0.000;
387;Standard;0;Kartesisch;-0.250;-1.250;0.000;
388;Standard;0;Kartesisch;-0.250;-1.000;0.000;
389;Standard;0;Kartesisch;-0.250;-0.750;0.000;
390;Standard;0;Kartesisch;-0.250;-0.500;0.000;
391;Standard;0;Kartesisch;-0.250;-0.250;0.000;
392;Standard;0;Kartesisch;-0.250;0.000;0.000;
393;Standard;0;Kartesisch;-0.250;0.250;0.000;
394;Standard;0;Kartesisch;-0.250;0.500;0.000;
395;Standard;0;Kartesisch;-0.250;0.750;0.000;
396;Standard;0;Kartesisch;-0.250;1.000;0.000;
397;Standard;0;Kartesisch;-0.250;1.250;0.000;
398;Standard;0;Kartesisch;-0.250;1.500;0.000;
399;Standard;0;Kartesisch;-0.250;1.750;0.000;
400;Standard;0;Kartesisch;-0.250;2.000;0.000;
401;Standard;0;Kartesisch;-0.250;2.250;0.000;
402;Standard;0;Kartesisch;-0.250;2.500;0.000;
403;Standard;0;Kartesisch;-0.250;2.750;0.000;
404;Standard;0;Kartesisch;-0.250;3.000;0.000;
405;Standard;0;Kartesisch;-0.250;3.250;0.000;
