Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
451;Standard;0;Kartesisch;0.600;2.400;-3.160;
452;Standard;0;Kartesisch;0.600;2.500;-3.160;
453;Standard;0;Kartesisch;0.600;2.600;-3.160;
454;Standard;0;Kartesisch;0.600;2.700;-3.160;
455;Standard;0;Kartesisch;0.600;2.800;-3.160;
456;Standard;0;Kartesisch;0.600;2.900;-3.160;
457;Standard;0;Kartesisch;0.600;3.000;-3.160;
458;Standard;0;Kartesisch;0.600;3.100;-3.160;
459;Standard;0;Kartesisch;0.600;3.200;-3.160;
460;Standard;0;Kartesisch;0.600;3.300;-3.160;
461;Standard;0;Kartesisch;0.600;3.400;-3.160;
462;Standard;0;Kartesisch;0.600;3.500;-3.160;
463;Standard;0;Kartesisch;0.600;3.600;-3.160;
464;Standard;0;Kartesisch;0.600;3.700;-3.160;
465;Standard;0;Kartesisch;0.600;3.800;-3.160;
466;Standard;0;Kartesisch;0.600;3.900;-3.160;
467;Standard;0;Kartesisch;0.600;4.000;-3.160;
468;Standard;0;Kartesisch;0.600;4.100;-3.160;
469;Standard;0;Kartesisch;0.600;4.200;-3.160;
470;Standard;0;Kartesisch;0.600;4.300;-3.160;
471;Standard;0;Kartesisch;0.600;4.400;-3.160;
472;Standard;0;Kartesisch;0.600;4.500;-3.160;
