Fläche;Rasterpunkt-Koordinaten [m];;
Nr.;X;Y;Z
570;-0.375;2.375;0.000
571;-0.375;2.625;0.000
572;-0.375;2.875;0.000
573;-0.375;3.125;0.000
574;-0.375;3.375;0.000
575;-0.125;0.125;0.000
576;-0.125;0.375;0.000
577;-0.125;0.625;0.000
578;-0.125;0.875;0.000
579;-0.125;1.125;0.000
580;-0.125;1.375;0.000
581;-0.125;1.625;0.000
582;-0.125;1.875;0.000
583;-0.125;2.125;0.000
584;-0.125;2.375;0.000
585;-0.125;2.625;0.000
586;-0.125;2.875;0.000
587;-0.125;3.125;0.000
588;-0.125;3.375;0.000
589;0.125;0.125;0.000
590;0.125;0.375;0.000
591;0.125;0.625;0.000
592;0.125;0.875;0.000
593;0.125;1.125;0.000
594;0.125;1.375;0.000
595;0.125;1.625;0.000
596;0.125;1.875;0.000
597;0.125;2.125;0.000
598;0.125;2.375;0.000
599;0.125;2.625;0.000
600;0.125;2.875;0.000
601;0.125;3.125;0.000
602;0.125;3.375;0.000
603;0.375;0.125;0.000
604;0.375;0.375;0.000
605;0.375;0.625;0.000
606;0.375;0.875;0.000
607;0.375;1.125;0.000
608;0.375;1.375;0.000
609;0.375;1.625;0.000
610;0.375;1.875;0.000
611;0.375;2.125;0.000
612;0.375;2.375;0.000
613;0.375;2.625;0.000
614;0.375;2.875;0.000
615;0.375;3.125;0.000
616;0.375;3.375;0.000
617;0.625;0.125;0.000
618;0.625;0.375;0.000
619;0.625;0.625;0.000
620;0.625;0.875;0.000
621;0.625;1.125;0.000
622;0.625;1.375;0.000
623;0.625;1.625;0.000
624;0.625;1.875;0.000
625;0.625;2.125;0.000
626;0.625;2.375;0.000
627;0.625;2.625;0.000
628;0.625;2.875;0.000
629;0.625;3.125;0.000
630;0.625;3.375;0.000
631;0.875;0.125;0.000
632;0.875;0.375;0.000
633;0.875;0.625;0.000
634;0.875;0.875;0.000
635;0.875;1.125;0.000
636;0.875;1.375;0.000
637;0.875;1.625;0.000
638;0.875;1.875;0.000
639;0.875;2.125;0.000
640;0.875;2.375;0.000
641;0.875;2.625;0.000
642;0.875;2.875;0.000
643;0.875;3.125;0.000
644;0.875;3.375;0.000
645;1.125;0.125;0.000
646;1.125;0.375;0.000
647;1.125;0.625;0.000
648;1.125;0.875;0.000
649;1.125;1.125;0.000
650;1.125;1.375;0.000
651;1.125;1.625;0.000
652;1.125;1.875;0.000
653;1.125;2.125;0.000
654;1.125;2.375;0.000
655;1.125;2.625;0.000
656;1.125;2.875;0.000
