Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
4396;1;0.650;8.050;-3.323;0.11;0.29;1.16;-2.38;-1.98;25.67;36.53;31.27
4397;1;0.650;8.150;-3.344;0.11;-0.10;0.93;-1.70;-0.46;18.43;26.70;24.17
4398;1;0.650;8.250;-3.365;0.05;-0.29;0.70;-1.55;0.02;12.27;19.34;18.24
4399;1;0.650;8.350;-3.386;0.02;-0.39;0.51;-1.35;0.16;7.17;13.58;13.51
4400;1;0.650;8.450;-3.407;-0.01;-0.43;0.37;-1.06;0.18;3.27;8.90;9.83
4401;1;0.650;8.550;-3.428;-0.03;-0.43;0.26;-0.77;0.15;0.44;4.96;7.01
4402;1;0.650;8.650;-3.449;-0.03;-0.41;0.18;-0.52;0.13;-1.48;1.67;4.94
4403;1;0.650;8.750;-3.470;-0.04;-0.38;0.13;-0.39;0.12;-2.74;-1.11;3.45
4404;1;0.650;8.850;-3.490;-0.04;-0.33;0.09;-0.23;0.18;-3.55;-3.44;2.41
4405;1;0.650;8.950;-3.511;-0.04;-0.29;0.07;-0.09;0.32;-4.09;-5.37;1.72
4406;1;0.650;9.050;-3.532;-0.03;-0.25;0.05;-0.06;0.40;-4.45;-6.94;1.30
4407;1;0.650;9.150;-3.553;-0.02;-0.22;0.04;-0.04;0.42;-4.66;-8.20;1.07
4408;1;0.650;9.250;-3.574;-0.01;-0.18;0.03;-0.04;0.42;-4.75;-9.16;1.00
4409;1;0.650;9.350;-3.595;0.00;-0.15;0.03;-0.05;0.38;-4.75;-9.89;1.03
4410;1;0.650;9.450;-3.616;0.01;-0.12;0.02;-0.06;0.34;-4.67;-10.42;1.11
4411;1;0.650;9.550;-3.637;0.02;-0.10;0.02;-0.08;0.29;-4.52;-10.77;1.21
4412;1;0.650;9.650;-3.658;0.03;-0.07;0.01;-0.09;0.25;-4.33;-10.97;1.31
4413;1;0.650;9.750;-3.679;0.04;-0.05;0.01;-0.10;0.22;-4.15;-11.05;1.38
4414;1;0.650;9.850;-3.700;0.06;-0.04;0.01;-0.10;0.18;-3.99;-11.04;1.39
4415;1;0.650;9.950;-3.721;0.07;-0.03;0.01;-0.10;0.15;-3.86;-10.98;1.33
4416;1;0.750;8.050;-3.348;0.11;0.32;1.00;-2.83;-2.18;25.74;39.41;29.19
4417;1;0.750;8.150;-3.368;0.12;-0.02;0.78;-1.82;-0.84;18.34;29.24;21.89
4418;1;0.750;8.250;-3.388;0.07;-0.21;0.58;-1.38;-0.31;12.28;21.64;16.10
4419;1;0.750;8.350;-3.409;0.03;-0.31;0.42;-1.03;-0.09;7.42;15.73;11.70
4420;1;0.750;8.450;-3.429;0.01;-0.35;0.30;-0.72;0.00;3.76;11.00;8.38
4421;1;0.750;8.550;-3.449;-0.01;-0.36;0.21;-0.47;0.05;1.09;7.06;5.86
4422;1;0.750;8.650;-3.470;-0.02;-0.35;0.15;-0.33;0.05;-0.76;3.78;4.01
4423;1;0.750;8.750;-3.490;-0.03;-0.31;0.11;-0.18;0.15;-2.01;1.01;2.68
4424;1;0.750;8.850;-3.510;-0.03;-0.28;0.08;-0.04;0.30;-2.89;-1.32;1.72
4425;1;0.750;8.950;-3.530;-0.02;-0.25;0.07;0.00;0.39;-3.51;-3.27;1.07
4426;1;0.750;9.050;-3.551;-0.02;-0.21;0.05;0.03;0.43;-3.93;-4.88;0.66
4427;1;0.750;9.150;-3.571;-0.01;-0.18;0.05;0.03;0.43;-4.20;-6.18;0.44
4428;1;0.750;9.250;-3.591;0.00;-0.15;0.04;0.02;0.41;-4.32;-7.22;0.37
4429;1;0.750;9.350;-3.612;0.01;-0.12;0.03;0.00;0.36;-4.33;-8.02;0.39
4430;1;0.750;9.450;-3.632;0.01;-0.10;0.02;-0.01;0.32;-4.26;-8.65;0.46
4431;1;0.750;9.550;-3.652;0.02;-0.08;0.02;-0.02;0.28;-4.12;-9.11;0.56
4432;1;0.750;9.650;-3.673;0.03;-0.06;0.02;-0.04;0.25;-3.94;-9.43;0.66
4433;1;0.750;9.750;-3.693;0.04;-0.04;0.02;-0.04;0.22;-3.75;-9.64;0.72
4434;1;0.750;9.850;-3.713;0.05;-0.03;0.02;-0.05;0.18;-3.59;-9.76;0.74
4435;1;0.750;9.950;-3.734;0.06;-0.02;0.02;-0.05;0.15;-3.45;-9.82;0.68
4436;1;0.850;8.050;-3.372;0.08;0.30;0.84;-2.98;-2.16;25.22;41.56;27.28
4437;1;0.850;8.150;-3.392;0.10;0.00;0.65;-1.83;-1.01;17.75;31.36;19.89
4438;1;0.850;8.250;-3.412;0.07;-0.17;0.48;-1.22;-0.50;11.87;23.73;14.30
4439;1;0.850;8.350;-3.431;0.04;-0.26;0.34;-0.80;-0.24;7.33;17.78;10.18
4440;1;0.850;8.450;-3.451;0.02;-0.29;0.25;-0.49;-0.10;3.95;13.03;7.15
4441;1;0.850;8.550;-3.471;0.00;-0.30;0.18;-0.34;-0.03;1.48;9.08;4.85
4442;1;0.850;8.650;-3.490;-0.01;-0.28;0.13;-0.17;0.10;-0.24;5.78;3.20
4443;1;0.850;8.750;-3.510;-0.01;-0.26;0.10;0.00;0.27;-1.46;3.02;1.97
4444;1;0.850;8.850;-3.530;-0.01;-0.24;0.08;0.04;0.37;-2.36;0.68;1.08
4445;1;0.850;8.950;-3.550;-0.01;-0.21;0.07;0.08;0.43;-3.01;-1.29;0.46
4446;1;0.850;9.050;-3.569;0.00;-0.18;0.06;0.08;0.44;-3.46;-2.93;0.07
4447;1;0.850;9.150;-3.589;0.00;-0.15;0.05;0.07;0.42;-3.75;-4.27;-0.14
4448;1;0.850;9.250;-3.609;0.01;-0.12;0.04;0.06;0.39;-3.88;-5.36;-0.22
4449;1;0.850;9.350;-3.628;0.02;-0.10;0.03;0.04;0.35;-3.89;-6.23;-0.20
4450;1;0.850;9.450;-3.648;0.02;-0.08;0.03;0.03;0.31;-3.83;-6.93;-0.13
4451;1;0.850;9.550;-3.668;0.03;-0.06;0.02;0.02;0.27;-3.69;-7.47;-0.04
4452;1;0.850;9.650;-3.687;0.03;-0.04;0.02;0.01;0.24;-3.51;-7.88;0.05
4453;1;0.850;9.750;-3.707;0.04;-0.03;0.02;0.01;0.21;-3.33;-8.19;0.12
4454;1;0.850;9.850;-3.727;0.05;-0.01;0.02;0.00;0.18;-3.16;-8.42;0.13
4455;1;0.850;9.950;-3.746;0.05;-0.01;0.02;-0.01;0.15;-2.99;-8.58;0.09
4456;1;0.950;8.050;-3.397;0.03;0.25;0.69;-2.92;-2.00;24.20;42.96;25.45
4457;1;0.950;8.150;-3.416;0.07;0.00;0.53;-1.73;-1.05;16.77;33.01;18.09
4458;1;0.950;8.250;-3.435;0.06;-0.14;0.39;-1.06;-0.58;11.20;25.56;12.76
4459;1;0.950;8.350;-3.454;0.04;-0.21;0.29;-0.62;-0.30;7.03;19.68;8.91
4460;1;0.950;8.450;-3.473;0.03;-0.25;0.21;-0.41;-0.18;3.96;14.93;6.09
4461;1;0.950;8.550;-3.492;0.01;-0.25;0.16;-0.19;0.01;1.74;10.96;4.02
4462;1;0.950;8.650;-3.511;0.01;-0.24;0.12;0.00;0.22;0.16;7.68;2.47
4463;1;0.950;8.750;-3.530;0.01;-0.22;0.10;0.05;0.33;-1.01;4.91;1.33
4464;1;0.950;8.850;-3.550;0.01;-0.20;0.09;0.09;0.41;-1.90;2.56;0.48
4465;1;0.950;8.950;-3.569;0.01;-0.17;0.07;0.11;0.43;-2.56;0.57;-0.10
4466;1;0.950;9.050;-3.588;0.02;-0.15;0.06;0.10;0.42;-3.01;-1.09;-0.47
4467;1;0.950;9.150;-3.607;0.02;-0.12;0.05;0.09;0.40;-3.29;-2.47;-0.68
4468;1;0.950;9.250;-3.626;0.02;-0.10;0.05;0.08;0.36;-3.43;-3.60;-0.76
4469;1;0.950;9.350;-3.645;0.03;-0.08;0.04;0.07;0.33;-3.44;-4.52;-0.74
4470;1;0.950;9.450;-3.664;0.03;-0.06;0.03;0.06;0.29;-3.37;-5.28;-0.68
4471;1;0.950;9.550;-3.683;0.04;-0.04;0.03;0.06;0.26;-3.24;-5.88;-0.59
4472;1;0.950;9.650;-3.702;0.04;-0.02;0.03;0.06;0.24;-3.07;-6.37;-0.50
4473;1;0.950;9.750;-3.721;0.04;-0.01;0.02;0.05;0.20;-2.88;-6.76;-0.44
4474;1;0.950;9.850;-3.740;0.05;0.00;0.02;0.04;0.17;-2.69;-7.07;-0.42
4475;1;0.950;9.950;-3.759;0.05;0.01;0.02;0.03;0.14;-2.51;-7.31;-0.46
4476;1;1.050;8.050;-3.422;-0.02;0.19;0.56;-2.73;-1.77;22.73;43.60;23.60
4477;1;1.050;8.150;-3.440;0.04;-0.01;0.43;-1.56;-0.99;15.52;34.21;16.47
4478;1;1.050;8.250;-3.459;0.05;-0.12;0.33;-0.88;-0.59;10.39;27.09;11.44
4479;1;1.050;8.350;-3.477;0.04;-0.18;0.25;-0.56;-0.36;6.62;21.36;7.83
4480;1;1.050;8.450;-3.495;0.03;-0.20;0.19;-0.28;-0.13;3.89;16.63;5.23
4481;1;1.050;8.550;-3.514;0.02;-0.20;0.15;-0.04;0.14;1.93;12.73;3.28
4482;1;1.050;8.650;-3.532;0.02;-0.19;0.13;0.03;0.29;0.48;9.45;1.83
4483;1;1.050;8.750;-3.551;0.03;-0.18;0.11;0.09;0.37;-0.63;6.66;0.74
4484;1;1.050;8.850;-3.569;0.03;-0.16;0.09;0.11;0.42;-1.49;4.30;-0.06
4485;1;1.050;8.950;-3.588;0.03;-0.14;0.08;0.11;0.41;-2.13;2.30;-0.62
4486;1;1.050;9.050;-3.606;0.04;-0.11;0.07;0.10;0.40;-2.56;0.62;-0.98
4487;1;1.050;9.150;-3.625;0.04;-0.09;0.06;0.11;0.38;-2.83;-0.78;-1.18
4488;1;1.050;9.250;-3.643;0.04;-0.07;0.05;0.10;0.34;-2.95;-1.94;-1.25
4489;1;1.050;9.350;-3.661;0.04;-0.05;0.04;0.09;0.31;-2.96;-2.91;-1.24
4490;1;1.050;9.450;-3.680;0.04;-0.04;0.04;0.09;0.28;-2.89;-3.70;-1.18
4491;1;1.050;9.550;-3.698;0.05;-0.02;0.03;0.09;0.26;-2.76;-4.36;-1.09
4492;1;1.050;9.650;-3.717;0.05;-0.01;0.03;0.09;0.23;-2.59;-4.90;-1.00
4493;1;1.050;9.750;-3.735;0.05;0.00;0.03;0.08;0.20;-2.39;-5.35;-0.94
4494;1;1.050;9.850;-3.754;0.05;0.01;0.03;0.07;0.17;-2.18;-5.73;-0.93
4495;1;1.050;9.950;-3.772;0.06;0.02;0.03;0.06;0.14;-1.99;-6.05;-0.96
4496;1;1.150;8.050;-3.446;-0.07;0.12;0.45;-2.46;-1.49;20.91;43.47;21.72
4497;1;1.150;8.150;-3.464;0.00;-0.03;0.35;-1.37;-0.84;14.16;34.98;15.03
4498;1;1.150;8.250;-3.482;0.02;-0.11;0.28;-0.85;-0.57;9.51;28.25;10.30
4499;1;1.150;8.350;-3.500;0.03;-0.15;0.21;-0.44;-0.28;6.20;22.73;6.97
4500;1;1.150;8.450;-3.518;0.03;-0.17;0.18;-0.13;0.02;3.83;18.18;4.49
4501;1;1.150;8.550;-3.535;0.03;-0.17;0.15;-0.03;0.21;2.09;14.33;2.65
4502;1;1.150;8.650;-3.553;0.04;-0.16;0.13;0.04;0.32;0.76;11.06;1.25
4503;1;1.150;8.750;-3.571;0.04;-0.14;0.11;0.07;0.38;-0.29;8.27;0.20
4504;1;1.150;8.850;-3.589;0.05;-0.13;0.10;0.09;0.39;-1.10;5.91;-0.56
4505;1;1.150;8.950;-3.607;0.05;-0.11;0.09;0.10;0.38;-1.70;3.90;-1.10
4506;1;1.150;9.050;-3.625;0.05;-0.09;0.08;0.11;0.37;-2.11;2.22;-1.44
4507;1;1.150;9.150;-3.642;0.06;-0.07;0.07;0.10;0.35;-2.35;0.79;-1.63
4508;1;1.150;9.250;-3.660;0.06;-0.05;0.05;0.10;0.32;-2.45;-0.40;-1.70
4509;1;1.150;9.350;-3.678;0.06;-0.03;0.05;0.11;0.30;-2.45;-1.38;-1.70
4510;1;1.150;9.450;-3.696;0.06;-0.02;0.04;0.12;0.28;-2.38;-2.21;-1.64
4511;1;1.150;9.550;-3.714;0.06;0.00;0.04;0.12;0.25;-2.25;-2.91;-1.55
4512;1;1.150;9.650;-3.731;0.06;0.01;0.03;0.11;0.22;-2.07;-3.50;-1.47
4513;1;1.150;9.750;-3.749;0.06;0.02;0.03;0.11;0.19;-1.86;-4.00;-1.41
4514;1;1.150;9.850;-3.767;0.06;0.03;0.03;0.10;0.16;-1.64;-4.43;-1.39
4515;1;1.150;9.950;-3.785;0.06;0.03;0.03;0.10;0.13;-1.44;-4.80;-1.42
4516;1;1.250;8.050;-3.471;-0.13;0.06;0.37;-2.19;-1.23;18.89;42.55;19.81
4517;1;1.250;8.150;-3.488;-0.04;-0.05;0.30;-1.31;-0.66;12.83;35.32;13.73
4518;1;1.250;8.250;-3.505;0.00;-0.10;0.24;-0.73;-0.42;8.72;29.03;9.36
4519;1;1.250;8.350;-3.523;0.02;-0.13;0.20;-0.31;-0.11;5.87;23.89;6.20
4520;1;1.250;8.450;-3.540;0.03;-0.14;0.17;-0.15;0.09;3.81;19.50;3.87
4521;1;1.250;8.550;-3.557;0.04;-0.14;0.15;-0.05;0.25;2.24;15.73;2.10
4522;1;1.250;8.650;-3.574;0.05;-0.13;0.13;0.01;0.33;1.00;12.49;0.75
4523;1;1.250;8.750;-3.591;0.06;-0.11;0.12;0.05;0.36;0.03;9.73;-0.28
4524;1;1.250;8.850;-3.609;0.06;-0.10;0.11;0.06;0.36;-0.72;7.37;-1.02
4525;1;1.250;8.950;-3.626;0.07;-0.08;0.09;0.07;0.36;-1.26;5.37;-1.54
4526;1;1.250;9.050;-3.643;0.07;-0.06;0.08;0.08;0.35;-1.63;3.68;-1.87
4527;1;1.250;9.150;-3.660;0.07;-0.04;0.07;0.09;0.32;-1.84;2.25;-2.06
4528;1;1.250;9.250;-3.677;0.07;-0.03;0.06;0.11;0.31;-1.93;1.05;-2.13
4529;1;1.250;9.350;-3.695;0.07;-0.01;0.05;0.12;0.29;-1.92;0.04;-2.12
4530;1;1.250;9.450;-3.712;0.07;0.00;0.05;0.13;0.27;-1.84;-0.81;-2.07
4531;1;1.250;9.550;-3.729;0.07;0.01;0.04;0.13;0.24;-1.69;-1.54;-1.99
4532;1;1.250;9.650;-3.746;0.07;0.02;0.04;0.13;0.21;-1.50;-2.16;-1.90
4533;1;1.250;9.750;-3.763;0.07;0.03;0.04;0.13;0.18;-1.29;-2.70;-1.84
4534;1;1.250;9.850;-3.780;0.07;0.04;0.04;0.13;0.16;-1.07;-3.17;-1.82
4535;1;1.250;9.950;-3.798;0.07;0.04;0.04;0.12;0.13;-0.86;-3.58;-1.84
4536;1;1.350;8.050;-3.496;-0.15;0.01;0.28;-1.80;-1.02;16.86;40.94;17.97
4537;1;1.350;8.150;-3.512;-0.06;-0.06;0.25;-0.95;-0.60;11.66;35.15;12.59
4538;1;1.350;8.250;-3.529;-0.02;-0.10;0.22;-0.54;-0.26;8.10;29.57;8.44
4539;1;1.350;8.350;-3.545;0.01;-0.12;0.19;-0.34;-0.01;5.64;24.80;5.54
4540;1;1.350;8.450;-3.562;0.03;-0.12;0.17;-0.20;0.16;3.81;20.57;3.32
4541;1;1.350;8.550;-3.579;0.05;-0.11;0.16;-0.10;0.26;2.39;16.92;1.60
4542;1;1.350;8.650;-3.595;0.06;-0.10;0.14;-0.05;0.32;1.26;13.75;0.28
4543;1;1.350;8.750;-3.612;0.07;-0.09;0.12;-0.02;0.33;0.37;11.02;-0.72
4544;1;1.350;8.850;-3.628;0.08;-0.07;0.11;0.02;0.33;-0.31;8.69;-1.44
4545;1;1.350;8.950;-3.645;0.08;-0.05;0.10;0.04;0.33;-0.80;6.70;-1.95
4546;1;1.350;9.050;-3.661;0.09;-0.04;0.08;0.06;0.32;-1.12;5.02;-2.27
4547;1;1.350;9.150;-3.678;0.09;-0.02;0.07;0.09;0.31;-1.29;3.59;-2.46
4548;1;1.350;9.250;-3.695;0.09;-0.01;0.06;0.11;0.30;-1.36;2.39;-2.53
4549;1;1.350;9.350;-3.711;0.09;0.01;0.06;0.13;0.28;-1.34;1.37;-2.53
4550;1;1.350;9.450;-3.728;0.09;0.02;0.05;0.14;0.26;-1.25;0.50;-2.47
4551;1;1.350;9.550;-3.744;0.09;0.03;0.05;0.14;0.23;-1.10;-0.25;-2.39
4552;1;1.350;9.650;-3.761;0.09;0.04;0.04;0.15;0.20;-0.90;-0.89;-2.31
4553;1;1.350;9.750;-3.777;0.08;0.05;0.04;0.15;0.18;-0.69;-1.45;-2.25
4554;1;1.350;9.850;-3.794;0.08;0.05;0.04;0.15;0.15;-0.47;-1.95;-2.21
4555;1;1.350;9.950;-3.810;0.08;0.06;0.04;0.15;0.13;-0.26;-2.41;-2.23
4556;1;1.450;8.050;-3.520;-0.18;-0.02;0.23;-1.34;-0.69;15.02;39.00;16.33
4557;1;1.450;8.150;-3.536;-0.09;-0.07;0.23;-0.80;-0.54;10.64;34.43;11.45
4558;1;1.450;8.250;-3.552;-0.04;-0.10;0.21;-0.55;-0.18;7.58;29.73;7.70
4559;1;1.450;8.350;-3.568;0.00;-0.11;0.19;-0.37;0.05;5.49;25.40;4.96
4560;1;1.450;8.450;-3.584;0.02;-0.10;0.18;-0.26;0.20;3.88;21.42;2.80
4561;1;1.450;8.550;-3.600;0.05;-0.09;0.16;-0.18;0.26;2.60;17.90;1.13
4562;1;1.450;8.650;-3.616;0.07;-0.08;0.15;-0.12;0.29;1.56;14.83;-0.17
4563;1;1.450;8.750;-3.632;0.08;-0.06;0.13;-0.08;0.31;0.76;12.16;-1.15
4564;1;1.450;8.850;-3.648;0.09;-0.05;0.11;-0.03;0.31;0.16;9.87;-1.85
4565;1;1.450;8.950;-3.664;0.10;-0.03;0.10;0.00;0.31;-0.27;7.91;-2.35
4566;1;1.450;9.050;-3.680;0.10;-0.02;0.09;0.03;0.30;-0.54;6.24;-2.66
4567;1;1.450;9.150;-3.696;0.10;0.00;0.08;0.07;0.31;-0.70;4.83;-2.84
4568;1;1.450;9.250;-3.712;0.11;0.01;0.07;0.10;0.29;-0.75;3.62;-2.92
4569;1;1.450;9.350;-3.728;0.11;0.03;0.06;0.12;0.27;-0.71;2.60;-2.92
4570;1;1.450;9.450;-3.744;0.10;0.04;0.05;0.14;0.25;-0.61;1.72;-2.87
4571;1;1.450;9.550;-3.760;0.10;0.05;0.05;0.15;0.22;-0.45;0.97;-2.79
4572;1;1.450;9.650;-3.775;0.10;0.06;0.05;0.16;0.20;-0.26;0.31;-2.70
4573;1;1.450;9.750;-3.791;0.10;0.06;0.04;0.16;0.18;-0.04;-0.27;-2.63
4574;1;1.450;9.850;-3.807;0.09;0.07;0.04;0.17;0.15;0.17;-0.79;-2.59
4575;1;1.450;9.950;-3.823;0.09;0.07;0.04;0.17;0.13;0.38;-1.27;-2.59
4576;1;1.550;8.050;-3.545;-0.22;-0.05;0.21;-1.27;-0.29;13.64;37.10;14.75
4577;1;1.550;8.150;-3.560;-0.13;-0.08;0.20;-0.94;-0.37;9.79;33.18;10.43
4578;1;1.550;8.250;-3.576;-0.06;-0.09;0.19;-0.57;-0.09;7.23;29.44;7.06
4579;1;1.550;8.350;-3.591;-0.02;-0.09;0.19;-0.38;0.09;5.44;25.63;4.44
4580;1;1.550;8.450;-3.606;0.02;-0.08;0.18;-0.28;0.19;4.02;21.98;2.33
4581;1;1.550;8.550;-3.622;0.05;-0.07;0.16;-0.23;0.24;2.86;18.66;0.67
4582;1;1.550;8.650;-3.637;0.07;-0.06;0.15;-0.18;0.26;1.93;15.72;-0.60
4583;1;1.550;8.750;-3.652;0.09;-0.04;0.13;-0.13;0.28;1.22;13.15;-1.56
4584;1;1.550;8.850;-3.668;0.10;-0.03;0.12;-0.09;0.29;0.69;10.92;-2.25
4585;1;1.550;8.950;-3.683;0.11;-0.01;0.10;-0.04;0.30;0.32;9.00;-2.73
4586;1;1.550;9.050;-3.698;0.11;0.00;0.09;0.02;0.30;0.08;7.36;-3.05
4587;1;1.550;9.150;-3.714;0.12;0.02;0.08;0.06;0.30;-0.04;5.96;-3.23
4588;1;1.550;9.250;-3.729;0.12;0.03;0.07;0.08;0.28;-0.07;4.77;-3.31
4589;1;1.550;9.350;-3.744;0.12;0.05;0.06;0.11;0.26;-0.02;3.75;-3.31
4590;1;1.550;9.450;-3.760;0.12;0.06;0.06;0.13;0.24;0.09;2.87;-3.25
4591;1;1.550;9.550;-3.775;0.12;0.07;0.05;0.15;0.22;0.25;2.12;-3.17
4592;1;1.550;9.650;-3.790;0.12;0.07;0.05;0.16;0.20;0.43;1.46;-3.09
4593;1;1.550;9.750;-3.805;0.11;0.08;0.05;0.17;0.18;0.64;0.87;-3.01
4594;1;1.550;9.850;-3.821;0.11;0.08;0.05;0.18;0.15;0.84;0.33;-2.95
4595;1;1.550;9.950;-3.836;0.10;0.09;0.05;0.18;0.13;1.03;-0.17;-2.94
4596;1;1.650;8.050;-3.570;-0.25;-0.06;0.19;-1.18;-0.21;12.56;35.34;13.21
4597;1;1.650;8.150;-3.585;-0.15;-0.08;0.18;-0.84;-0.16;9.26;31.87;9.37
4598;1;1.650;8.250;-3.599;-0.09;-0.08;0.18;-0.55;-0.04;7.12;28.85;6.38
4599;1;1.650;8.350;-3.614;-0.03;-0.08;0.18;-0.44;0.11;5.53;25.59;3.91
4600;1;1.650;8.450;-3.629;0.01;-0.07;0.17;-0.37;0.17;4.24;22.27;1.87
4601;1;1.650;8.550;-3.643;0.04;-0.05;0.16;-0.30;0.20;3.19;19.18;0.24
4602;1;1.650;8.650;-3.658;0.07;-0.04;0.14;-0.25;0.24;2.37;16.41;-1.01
4603;1;1.650;8.750;-3.673;0.09;-0.02;0.13;-0.18;0.26;1.75;13.96;-1.95
4604;1;1.650;8.850;-3.687;0.10;-0.01;0.11;-0.12;0.28;1.30;11.82;-2.64
4605;1;1.650;8.950;-3.702;0.11;0.01;0.10;-0.06;0.30;0.98;9.97;-3.12
4606;1;1.650;9.050;-3.717;0.12;0.02;0.09;-0.01;0.30;0.79;8.37;-3.44
4607;1;1.650;9.150;-3.731;0.13;0.04;0.08;0.03;0.29;0.69;7.00;-3.62
4608;1;1.650;9.250;-3.746;0.13;0.05;0.07;0.06;0.27;0.68;5.83;-3.70
4609;1;1.650;9.350;-3.761;0.13;0.06;0.07;0.09;0.25;0.74;4.82;-3.70
4610;1;1.650;9.450;-3.775;0.13;0.08;0.06;0.12;0.24;0.85;3.95;-3.65
4611;1;1.650;9.550;-3.790;0.13;0.08;0.06;0.14;0.22;1.00;3.20;-3.57
4612;1;1.650;9.650;-3.805;0.13;0.09;0.05;0.16;0.20;1.17;2.54;-3.47
4613;1;1.650;9.750;-3.820;0.13;0.10;0.05;0.17;0.18;1.35;1.95;-3.38
4614;1;1.650;9.850;-3.834;0.12;0.10;0.05;0.19;0.16;1.54;1.41;-3.31
4615;1;1.650;9.950;-3.849;0.12;0.10;0.05;0.19;0.14;1.71;0.90;-3.28
4616;1;1.750;8.050;-3.595;-0.29;-0.08;0.18;-1.08;-0.11;11.76;33.60;11.71
4617;1;1.750;8.150;-3.609;-0.19;-0.08;0.18;-0.84;0.02;9.05;30.75;8.32
4618;1;1.750;8.250;-3.623;-0.12;-0.08;0.18;-0.69;0.03;7.22;28.08;5.62
4619;1;1.750;8.350;-3.637;-0.06;-0.07;0.18;-0.56;0.11;5.79;25.30;3.33
4620;1;1.750;8.450;-3.651;-0.01;-0.05;0.17;-0.47;0.15;4.61;22.33;1.36
4621;1;1.750;8.550;-3.665;0.03;-0.04;0.16;-0.39;0.19;3.67;19.50;-0.22
4622;1;1.750;8.650;-3.679;0.06;-0.02;0.14;-0.31;0.23;2.95;16.93;-1.45
4623;1;1.750;8.750;-3.693;0.08;-0.01;0.13;-0.23;0.26;2.41;14.63;-2.37
4624;1;1.750;8.850;-3.707;0.10;0.01;0.11;-0.16;0.28;2.02;12.60;-3.05
4625;1;1.750;8.950;-3.721;0.12;0.03;0.10;-0.10;0.29;1.75;10.82;-3.53
4626;1;1.750;9.050;-3.735;0.13;0.04;0.09;-0.05;0.28;1.59;9.28;-3.84
4627;1;1.750;9.150;-3.749;0.14;0.06;0.08;0.00;0.27;1.52;7.95;-4.03
4628;1;1.750;9.250;-3.763;0.14;0.07;0.08;0.04;0.26;1.52;6.80;-4.10
4629;1;1.750;9.350;-3.777;0.15;0.08;0.07;0.07;0.25;1.57;5.82;-4.11
4630;1;1.750;9.450;-3.791;0.15;0.09;0.06;0.10;0.23;1.68;4.97;-4.06
4631;1;1.750;9.550;-3.805;0.14;0.10;0.06;0.13;0.22;1.81;4.23;-3.97
4632;1;1.750;9.650;-3.820;0.14;0.11;0.06;0.15;0.20;1.96;3.57;-3.87
4633;1;1.750;9.750;-3.834;0.14;0.11;0.06;0.17;0.18;2.11;2.99;-3.77
4634;1;1.750;9.850;-3.848;0.13;0.12;0.06;0.19;0.16;2.27;2.45;-3.68
4635;1;1.750;9.950;-3.862;0.13;0.12;0.06;0.20;0.15;2.40;1.94;-3.63
4636;1;1.850;8.050;-3.619;-0.33;-0.09;0.18;-1.05;0.00;11.40;31.93;10.24
4637;1;1.850;8.150;-3.633;-0.23;-0.09;0.18;-0.91;0.07;9.14;29.67;7.28
4638;1;1.850;8.250;-3.646;-0.15;-0.08;0.17;-0.79;0.09;7.52;27.26;4.78
4639;1;1.850;8.350;-3.660;-0.08;-0.06;0.17;-0.66;0.11;6.23;24.84;2.65
4640;1;1.850;8.450;-3.673;-0.03;-0.05;0.16;-0.57;0.15;5.16;22.22;0.78
4641;1;1.850;8.550;-3.686;0.02;-0.03;0.15;-0.46;0.19;4.32;19.66;-0.73
4642;1;1.850;8.650;-3.700;0.05;-0.01;0.14;-0.36;0.24;3.68;17.30;-1.92
4643;1;1.850;8.750;-3.713;0.08;0.01;0.13;-0.27;0.26;3.21;15.16;-2.82
4644;1;1.850;8.850;-3.727;0.10;0.03;0.11;-0.20;0.28;2.87;13.25;-3.49
4645;1;1.850;8.950;-3.740;0.12;0.04;0.10;-0.14;0.28;2.65;11.56;-3.97
4646;1;1.850;9.050;-3.754;0.14;0.06;0.09;-0.09;0.27;2.51;10.09;-4.28
4647;1;1.850;9.150;-3.767;0.15;0.08;0.09;-0.04;0.27;2.45;8.81;-4.46
4648;1;1.850;9.250;-3.780;0.15;0.09;0.08;0.01;0.26;2.45;7.70;-4.54
4649;1;1.850;9.350;-3.794;0.16;0.10;0.07;0.05;0.25;2.50;6.74;-4.54
4650;1;1.850;9.450;-3.807;0.16;0.11;0.07;0.09;0.23;2.58;5.92;-4.49
4651;1;1.850;9.550;-3.821;0.16;0.12;0.06;0.12;0.22;2.68;5.20;-4.40
4652;1;1.850;9.650;-3.834;0.15;0.13;0.06;0.14;0.20;2.80;4.56;-4.29
4653;1;1.850;9.750;-3.848;0.15;0.13;0.06;0.17;0.19;2.92;3.99;-4.17
4654;1;1.850;9.850;-3.861;0.15;0.14;0.06;0.19;0.17;3.03;3.46;-4.07
4655;1;1.850;9.950;-3.875;0.14;0.14;0.06;0.20;0.16;3.12;2.96;-3.99
4656;1;1.950;8.050;-3.644;-0.38;-0.10;0.19;-1.08;0.09;11.42;30.39;8.81
4657;1;1.950;8.150;-3.657;-0.28;-0.09;0.18;-0.98;0.11;9.48;28.56;6.20
4658;1;1.950;8.250;-3.670;-0.19;-0.08;0.17;-0.86;0.14;8.04;26.45;3.87
