Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
99;1;0.450;-1.850;-3.673;0.08;-0.06;0.00;-0.22;-0.17;-4.70;-13.20;-2.83
100;1;0.450;-1.950;-3.695;0.10;-0.05;0.00;-0.21;-0.14;-4.59;-12.83;-2.72
101;1;0.550;-0.050;-3.298;0.06;0.13;-1.31;-1.51;1.27;24.53;33.61;-33.50
102;1;0.550;-0.150;-3.320;0.07;-0.25;-1.09;-1.50;-0.30;17.84;23.97;-26.80
103;1;0.550;-0.250;-3.341;0.03;-0.43;-0.85;-1.86;-0.59;11.64;17.04;-20.71
104;1;0.550;-0.350;-3.363;0.00;-0.51;-0.64;-1.85;-0.54;6.38;11.49;-15.60
105;1;0.550;-0.450;-3.385;-0.01;-0.53;-0.47;-1.57;-0.44;2.35;6.84;-11.48
106;1;0.550;-0.550;-3.406;-0.03;-0.52;-0.33;-1.22;-0.31;-0.54;2.86;-8.31
107;1;0.550;-0.650;-3.428;-0.04;-0.49;-0.23;-0.89;-0.23;-2.46;-0.49;-5.97
108;1;0.550;-0.750;-3.449;-0.04;-0.44;-0.16;-0.62;-0.19;-3.67;-3.32;-4.31
109;1;0.550;-0.850;-3.471;-0.05;-0.40;-0.12;-0.48;-0.15;-4.39;-5.66;-3.17
110;1;0.550;-0.950;-3.492;-0.04;-0.34;-0.08;-0.33;-0.20;-4.78;-7.56;-2.43
111;1;0.550;-1.050;-3.514;-0.04;-0.30;-0.06;-0.18;-0.33;-5.01;-9.08;-1.98
112;1;0.550;-1.150;-3.535;-0.03;-0.25;-0.04;-0.15;-0.39;-5.14;-10.26;-1.76
113;1;0.550;-1.250;-3.557;-0.02;-0.21;-0.03;-0.13;-0.40;-5.17;-11.13;-1.69
