element_number;x[m];y[m];t[mm]
353.0;2.875;-2.875;60.1292933712
354.0;2.875;-2.625;60.1294347151
355.0;2.875;-2.375;60.1293160893
356.0;2.875;-2.125;60.1292029754
357.0;2.875;-1.875;60.1290477814
358.0;2.875;-1.625;60.1288982149
359.0;2.875;-1.375;60.1287776649
360.0;2.875;-1.125;60.1284880428
361.0;2.875;-0.875;60.1280755165
362.0;2.875;-0.625;60.1281989013
363.0;2.875;-0.375;60.1262862463
364.0;2.875;-0.125;60.1144192664
365.0;3.125;-3.375;60.1320849315
366.0;3.125;-3.125;60.1304067918
367.0;3.125;-2.875;60.1296862124
368.0;3.125;-2.625;60.1298305242
369.0;3.125;-2.375;60.1298806761
370.0;3.125;-2.125;60.1295720642
371.0;3.125;-1.875;60.129747112
372.0;3.125;-1.625;60.1296811676
373.0;3.125;-1.375;60.1293200351
374.0;3.125;-1.125;60.1297820928
375.0;3.125;-0.875;60.129642539
376.0;3.125;-0.625;60.1279445819
377.0;3.125;-0.375;60.1299396264
378.0;3.125;-0.125;60.1371648112
379.0;3.375;-3.375;60.1294220835
380.0;3.375;-3.125;60.1320973247
381.0;3.375;-2.875;60.1328080545
382.0;3.375;-2.625;60.1349975765
383.0;3.375;-2.375;60.1370928259
384.0;3.375;-2.125;60.1394526466
385.0;3.375;-1.875;60.141976937
386.0;3.375;-1.625;60.1448581251
387.0;3.375;-1.375;60.1480745542
388.0;3.375;-1.125;60.1518146227
389.0;3.375;-0.875;60.1596733208
390.0;3.375;-0.625;60.1647485754
391.0;3.375;-0.375;60.179999469
392.0;3.375;-0.125;60.3395572724
393.0;-3.375;0.125;60.3395572725
394.0;-3.375;0.375;60.179999469
395.0;-3.375;0.625;60.1647485754
396.0;-3.375;0.875;60.1596733208
397.0;-3.375;1.125;60.1518146227
398.0;-3.375;1.375;60.1480745542
399.0;-3.375;1.625;60.1448581251
400.0;-3.375;1.875;60.1419769369
401.0;-3.375;2.125;60.1394526467
402.0;-3.375;2.375;60.1370928259
403.0;-3.375;2.625;60.1349975765
404.0;-3.375;2.875;60.1328080543
405.0;-3.375;3.125;60.1320973247
406.0;-3.375;3.375;60.1294220835
407.0;-3.125;0.125;60.1371648112
408.0;-3.125;0.375;60.1299396264
409.0;-3.125;0.625;60.1279445818
410.0;-3.125;0.875;60.129642539
411.0;-3.125;1.125;60.1297820928
412.0;-3.125;1.375;60.129320035
413.0;-3.125;1.625;60.1296811676
414.0;-3.125;1.875;60.129747112
415.0;-3.125;2.125;60.1295720642
416.0;-3.125;2.375;60.1298806761
417.0;-3.125;2.625;60.1298305243
418.0;-3.125;2.875;60.1296862124
419.0;-3.125;3.125;60.1304067918
420.0;-3.125;3.375;60.1320849317
421.0;-2.875;0.125;60.1144192664
422.0;-2.875;0.375;60.1262862463
423.0;-2.875;0.625;60.1281989013
424.0;-2.875;0.875;60.1280755166
425.0;-2.875;1.125;60.1284880427
426.0;-2.875;1.375;60.1287776649
427.0;-2.875;1.625;60.1288982149
428.0;-2.875;1.875;60.1290477814
429.0;-2.875;2.125;60.1292029753
430.0;-2.875;2.375;60.1293160893
431.0;-2.875;2.625;60.1294347151
432.0;-2.875;2.875;60.1292933711
433.0;-2.875;3.125;60.1296842949
434.0;-2.875;3.375;60.1328009315
435.0;-2.625;0.125;60.1008269276
436.0;-2.625;0.375;60.1301988762
437.0;-2.625;0.625;60.1321382185
438.0;-2.625;0.875;60.1296931823
439.0;-2.625;1.125;60.1299713206
440.0;-2.625;1.375;60.1299883375
441.0;-2.625;1.625;60.1299012196
442.0;-2.625;1.875;60.1298692718
443.0;-2.625;2.125;60.1298359638
444.0;-2.625;2.375;60.1298207829
445.0;-2.625;2.625;60.1298370895
446.0;-2.625;2.875;60.1294359046
447.0;-2.625;3.125;60.1298299887
448.0;-2.625;3.375;60.1349977466
449.0;-2.375;0.125;60.0606822561
