Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
216;Standard;0;Kartesisch;1.000;-0.500;-3.494;
217;Standard;0;Kartesisch;1.000;-0.600;-3.513;
218;Standard;0;Kartesisch;1.000;-0.700;-3.531;
219;Standard;0;Kartesisch;1.000;-0.800;-3.550;
220;Standard;0;Kartesisch;1.000;-0.900;-3.569;
221;Standard;0;Kartesisch;1.000;-1.000;-3.588;
222;Standard;0;Kartesisch;1.000;-1.100;-3.606;
223;Standard;0;Kartesisch;1.000;-1.200;-3.625;
224;Standard;0;Kartesisch;1.000;-1.300;-3.644;
225;Standard;0;Kartesisch;1.000;-1.400;-3.663;
226;Standard;0;Kartesisch;1.000;-1.500;-3.681;
227;Standard;0;Kartesisch;1.000;-1.600;-3.700;
228;Standard;0;Kartesisch;1.000;-1.700;-3.719;
229;Standard;0;Kartesisch;1.000;-1.800;-3.738;
230;Standard;0;Kartesisch;1.000;-1.900;-3.756;
231;Standard;0;Kartesisch;1.000;-2.000;-3.775;
232;Standard;0;Kartesisch;1.100;0.000;-3.425;
233;Standard;0;Kartesisch;1.100;-0.100;-3.443;
234;Standard;0;Kartesisch;1.100;-0.200;-3.461;
235;Standard;0;Kartesisch;1.100;-0.300;-3.479;
236;Standard;0;Kartesisch;1.100;-0.400;-3.498;
237;Standard;0;Kartesisch;1.100;-0.500;-3.516;
238;Standard;0;Kartesisch;1.100;-0.600;-3.534;
239;Standard;0;Kartesisch;1.100;-0.700;-3.552;
240;Standard;0;Kartesisch;1.100;-0.800;-3.570;
241;Standard;0;Kartesisch;1.100;-0.900;-3.588;
242;Standard;0;Kartesisch;1.100;-1.000;-3.606;
243;Standard;0;Kartesisch;1.100;-1.100;-3.624;
244;Standard;0;Kartesisch;1.100;-1.200;-3.643;
245;Standard;0;Kartesisch;1.100;-1.300;-3.661;
246;Standard;0;Kartesisch;1.100;-1.400;-3.679;
247;Standard;0;Kartesisch;1.100;-1.500;-3.697;
